ticker,status
ABT,cannot calculate
AZO,cannot calculate
CAH,cannot calculate
ETR,cannot calculate
FDX,cannot calculate
HONA,cannot calculate
HRL,cannot calculate
HPQ,cannot calculate
MAR,cannot calculate
MCK,cannot calculate
ORLY,cannot calculate
SBAC,cannot calculate
TGT,cannot calculate
ABBV,estimate
ACN,estimate
AMD,estimate
AES,estimate
ALB,estimate
LNT,estimate
AMZN,estimate
AEE,estimate
AWK,estimate
AMGN,estimate
ADI,estimate
APA,estimate
ADM,estimate
T,estimate
ATO,estimate
ADSK,estimate
AVY,estimate
BKR,estimate
BDX,estimate
BBY,estimate
TECH,estimate
BSX,estimate
BRO,estimate
BG,estimate
CDNS,estimate
CCL,estimate
CDW,estimate
COR,estimate
CNP,estimate
CF,estimate
CHTR,estimate
CTAS,estimate
CMS,estimate
KO,estimate
CMCSA,estimate
ED,estimate
CPAY,estimate
CTVA,estimate
DHR,estimate
DECK,estimate
DAL,estimate
DVN,estimate
DOV,estimate
DOW,estimate
DTE,estimate
DUK,estimate
ETN,estimate
EMR,estimate
EOG,estimate
EL,estimate
EVRG,estimate
ES,estimate
EXPE,estimate
EXPD,estimate
FFIV,estimate
FAST,estimate
FDXF,estimate
FTV,estimate
FOXA,estimate
FOX,estimate
GRMN,estimate
GD,estimate
GPC,estimate
GILD,estimate
GDDY,estimate
HCA,estimate
HPE,estimate
HON,estimate
ITW,estimate
INTC,estimate
IFF,estimate
IP,estimate
IRM,estimate
J,estimate
JCI,estimate
KMB,estimate
LLY,estimate
LYV,estimate
LYB,estimate
MRSH,estimate
MCD,estimate
MRK,estimate
MCHP,estimate
MNST,estimate
MOS,estimate
MSI,estimate
NWSA,estimate
NWS,estimate
NKE,estimate
NI,estimate
NDSN,estimate
NXPI,estimate
OXY,estimate
OMC,estimate
OKE,estimate
ORCL,estimate
PKG,estimate
PSKY,estimate
PCG,estimate
PNW,estimate
PPL,estimate
PEG,estimate
DGX,estimate
RSG,estimate
ROK,estimate
ROST,estimate
SRE,estimate
SHW,estimate
LUV,estimate
SWK,estimate
SYY,estimate
TMUS,estimate
TRGP,estimate
TMO,estimate
TJX,estimate
TSN,estimate
UAL,estimate
UPS,estimate
UHS,estimate
VLO,estimate
VLTO,estimate
VZ,estimate
GWW,estimate
WMT,estimate
DIS,estimate
WEC,estimate
WMB,estimate
XEL,estimate
MMM,perfect
AOS,perfect
ADBE,perfect
AFL,perfect
A,perfect
APD,perfect
ABNB,perfect
AKAM,perfect
ARE,perfect
ALGN,perfect
ALLE,perfect
ALL,perfect
GOOGL,perfect
GOOG,perfect
MO,perfect
AMCR,perfect
AEP,perfect
AXP,perfect
AIG,perfect
AMT,perfect
AMP,perfect
AME,perfect
APH,perfect
AON,perfect
APO,perfect
AAPL,perfect
AMAT,perfect
APP,perfect
APTV,perfect
ACGL,perfect
ARES,perfect
ANET,perfect
AJG,perfect
AIZ,perfect
ADP,perfect
AXON,perfect
BALL,perfect
BAC,perfect
BAX,perfect
BRK-B,perfect
BIIB,perfect
BLK,perfect
BX,perfect
XYZ,perfect
BNY,perfect
BA,perfect
BKNG,perfect
BMY,perfect
AVGO,perfect
BR,perfect
BF-B,perfect
BLDR,perfect
BXP,perfect
CHRW,perfect
CPT,perfect
COF,perfect
CARR,perfect
CVNA,perfect
CASY,perfect
CAT,perfect
CBOE,perfect
CBRE,perfect
CNC,perfect
CRL,perfect
SCHW,perfect
CVX,perfect
CMG,perfect
CB,perfect
CHD,perfect
CIEN,perfect
CI,perfect
CINF,perfect
CSCO,perfect
C,perfect
CFG,perfect
CLX,perfect
CME,perfect
CTSH,perfect
COHR,perfect
COIN,perfect
CL,perfect
FIX,perfect
COP,perfect
STZ,perfect
CEG,perfect
COO,perfect
CPRT,perfect
GLW,perfect
CSGP,perfect
COST,perfect
CRH,perfect
CRWD,perfect
CCI,perfect
CSX,perfect
CMI,perfect
CVS,perfect
DRI,perfect
DDOG,perfect
DVA,perfect
DE,perfect
DELL,perfect
DXCM,perfect
FANG,perfect
DLR,perfect
DG,perfect
DLTR,perfect
D,perfect
DPZ,perfect
DASH,perfect
DHI,perfect
DD,perfect
EBAY,perfect
ECHO,perfect
ECL,perfect
EIX,perfect
EW,perfect
ELV,perfect
EME,perfect
EQT,perfect
EFX,perfect
EQIX,perfect
ERIE,perfect
ESS,perfect
EG,perfect
EXC,perfect
EXE,perfect
EXR,perfect
XOM,perfect
FDS,perfect
FICO,perfect
FRT,perfect
FERG,perfect
FIS,perfect
FITB,perfect
FSLR,perfect
FE,perfect
FISV,perfect
FLEX,perfect
F,perfect
FTNT,perfect
BEN,perfect
FCX,perfect
IT,perfect
GE,perfect
