ticker,status,assets_missing,liabilities_missing,equity_missing
ABT,cannot calculate,False,True,True
AZO,cannot calculate,False,True,True
CAH,cannot calculate,False,True,True
ETR,cannot calculate,False,True,True
FDX,cannot calculate,False,True,True
HONA,cannot calculate,,,
HRL,cannot calculate,False,True,True
HPQ,cannot calculate,False,True,True
MAR,cannot calculate,False,True,True
MCK,cannot calculate,False,True,True
ORLY,cannot calculate,False,True,True
SBAC,cannot calculate,False,True,True
TGT,cannot calculate,False,True,True
ABBV,estimate,False,True,False
ACN,estimate,False,True,False
AMD,estimate,False,True,False
AES,estimate,False,True,False
ALB,estimate,False,True,False
LNT,estimate,False,True,False
AMZN,estimate,False,True,False
AEE,estimate,False,True,False
AWK,estimate,False,True,False
AMGN,estimate,False,True,False
ADI,estimate,False,True,False
APA,estimate,False,True,False
ADM,estimate,False,True,False
T,estimate,False,True,False
ATO,estimate,False,True,False
ADSK,estimate,False,True,False
AVY,estimate,False,True,False
BKR,estimate,False,True,False
BDX,estimate,False,True,False
BBY,estimate,False,True,False
TECH,estimate,False,True,False
BSX,estimate,False,True,False
BRO,estimate,False,True,False
BG,estimate,False,True,False
CDNS,estimate,False,True,False
CCL,estimate,False,True,False
CDW,estimate,False,True,False
COR,estimate,False,True,False
CNP,estimate,False,True,False
CF,estimate,False,True,False
CHTR,estimate,False,True,False
CTAS,estimate,False,True,False
CMS,estimate,False,True,False
KO,estimate,False,True,False
CMCSA,estimate,False,True,False
ED,estimate,False,True,False
CPAY,estimate,False,True,False
CTVA,estimate,False,True,False
DHR,estimate,False,True,False
DECK,estimate,False,True,False
DAL,estimate,False,True,False
DVN,estimate,False,True,False
DOV,estimate,False,True,False
DOW,estimate,False,True,False
DTE,estimate,False,True,False
DUK,estimate,False,True,False
ETN,estimate,False,True,False
EMR,estimate,False,True,False
EOG,estimate,False,True,False
EL,estimate,False,True,False
EVRG,estimate,False,True,False
ES,estimate,False,True,False
EXPE,estimate,False,True,False
EXPD,estimate,False,True,False
FFIV,estimate,False,True,False
FAST,estimate,False,True,False
FDXF,estimate,False,True,False
FTV,estimate,False,True,False
FOXA,estimate,False,True,False
FOX,estimate,False,True,False
GRMN,estimate,False,True,False
GD,estimate,False,True,False
GPC,estimate,False,True,False
GILD,estimate,False,True,False
GDDY,estimate,False,True,False
HCA,estimate,False,True,False
HPE,estimate,False,True,False
HON,estimate,False,True,False
ITW,estimate,False,True,False
INTC,estimate,False,True,False
IFF,estimate,False,True,False
IP,estimate,False,True,False
IRM,estimate,False,True,False
J,estimate,False,True,False
JCI,estimate,False,True,False
KMB,estimate,False,True,False
LLY,estimate,False,True,False
LYV,estimate,False,True,False
LYB,estimate,False,True,False
MRSH,estimate,False,True,False
MCD,estimate,False,True,False
MRK,estimate,False,True,False
MCHP,estimate,False,True,False
MNST,estimate,False,True,False
MOS,estimate,False,True,False
MSI,estimate,False,True,False
NWSA,estimate,False,True,False
NWS,estimate,False,True,False
NKE,estimate,False,True,False
NI,estimate,False,True,False
NDSN,estimate,False,True,False
NXPI,estimate,False,True,False
OXY,estimate,False,True,False
OMC,estimate,False,True,False
OKE,estimate,False,True,False
ORCL,estimate,False,True,False
PKG,estimate,False,True,False
PSKY,estimate,False,True,False
PCG,estimate,False,True,False
PNW,estimate,False,True,False
PPL,estimate,False,True,False
PEG,estimate,False,True,False
DGX,estimate,False,True,False
RSG,estimate,False,True,False
ROK,estimate,False,True,False
ROST,estimate,False,True,False
SRE,estimate,False,True,False
SHW,estimate,False,True,False
LUV,estimate,False,True,False
SWK,estimate,False,True,False
SYY,estimate,False,True,False
TMUS,estimate,False,True,False
TRGP,estimate,False,True,False
TMO,estimate,False,True,False
TJX,estimate,False,True,False
TSN,estimate,False,True,False
UAL,estimate,False,True,False
UPS,estimate,False,True,False
UHS,estimate,False,True,False
VLO,estimate,False,True,False
VLTO,estimate,False,True,False
VZ,estimate,False,True,False
GWW,estimate,False,True,False
WMT,estimate,False,True,False
DIS,estimate,False,True,False
WEC,estimate,False,True,False
WMB,estimate,False,True,False
XEL,estimate,False,True,False
MMM,perfect,False,False,False
AOS,perfect,False,False,False
ADBE,perfect,False,False,False
AFL,perfect,False,False,False
A,perfect,False,False,False
APD,perfect,False,False,False
ABNB,perfect,False,False,False
AKAM,perfect,False,False,False
ARE,perfect,False,False,False
ALGN,perfect,False,False,False
ALLE,perfect,False,False,False
ALL,perfect,False,False,False
GOOGL,perfect,False,False,False
GOOG,perfect,False,False,False
MO,perfect,False,False,False
AMCR,perfect,False,False,False
AEP,perfect,False,False,False
AXP,perfect,False,False,False
AIG,perfect,False,False,False
AMT,perfect,False,False,False
AMP,perfect,False,False,False
AME,perfect,False,False,False
APH,perfect,False,False,False
AON,perfect,False,False,False
APO,perfect,False,False,False
AAPL,perfect,False,False,False
AMAT,perfect,False,False,False
APP,perfect,False,False,False
APTV,perfect,False,False,False
ACGL,perfect,False,False,False
ARES,perfect,False,False,False
ANET,perfect,False,False,False
AJG,perfect,False,False,False
AIZ,perfect,False,False,False
ADP,perfect,False,False,False
AXON,perfect,False,False,False
BALL,perfect,False,False,False
BAC,perfect,False,False,False
BAX,perfect,False,False,False
BRK-B,perfect,False,False,False
BIIB,perfect,False,False,False
BLK,perfect,False,False,False
BX,perfect,False,False,False
XYZ,perfect,False,False,False
BNY,perfect,False,False,False
